    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time

         0 |                      0ms |                       0ms |          0 |         0% |             |              0 |     00:00:00
         1 |                 111145ms |                  111140ms |          1 |       100% |   Q24721060 |     8:52:34 PM |     00:01:51
         9 |              12460.556ms |                     125ms |          9 |       100% |   Q24788339 |     8:52:35 PM |     00:01:52
        10 |                84109.2ms |                  728947ms |         10 |       100% |   Q24788465 |     9:04:44 PM |     00:14:01
        26 |              32388.192ms |                  62.563ms |         26 |       100% |   Q24780702 |     9:04:45 PM |     00:14:02
        27 |              40555.037ms |                  252893ms |         27 |       100% |   Q24783277 |     9:08:58 PM |     00:18:14
        28 |              44545.143ms |                  152278ms |         27 |    96.429% |   Q24783277 |     9:08:58 PM |     00:20:47
        29 |               54232.69ms |                  325484ms |         27 |    93.103% |   Q24783277 |     9:08:58 PM |     00:26:12
        42 |              37470.214ms |                      77ms |         40 |    95.238% |   Q24786499 |     9:16:57 PM |     00:26:13
        43 |              51258.326ms |                  630359ms |         41 |    95.349% |   Q24788557 |     9:27:27 PM |     00:36:44
        44 |              52386.818ms |                  100912ms |         41 |    93.182% |   Q24788557 |     9:27:27 PM |     00:38:25
        58 |              39758.983ms |                    71.5ms |         55 |    94.828% |   Q24785294 |     9:29:09 PM |     00:38:26
        59 |              51604.373ms |                  738637ms |         56 |    94.915% |   Q24787419 |     9:41:28 PM |     00:50:44
        75 |              40608.787ms |                  62.563ms |         72 |        96% |   Q24783757 |     9:41:29 PM |     00:50:45
        76 |              48384.592ms |                  631570ms |         73 |    96.053% |   Q24786776 |     9:52:00 PM |     01:01:17
        77 |              47769.221ms |                    1001ms |         74 |    96.104% |   Q24788363 |     9:52:01 PM |     01:01:18
        78 |               48488.09ms |                  103841ms |         74 |    94.872% |   Q24788363 |     9:52:01 PM |     01:03:02
       103 |              36728.864ms |                   40.08ms |         98 |    95.146% |   Q24786748 |     9:53:46 PM |     01:03:03
       104 |              43466.019ms |                  737393ms |         99 |    95.192% |   Q24788183 |    10:06:04 PM |     01:15:20
       121 |              37367.496ms |                  58.882ms |        116 |    95.868% |   Q24785993 |    10:06:05 PM |     01:15:21
       122 |              43101.041ms |                  736860ms |        117 |    95.902% |   Q24787869 |    10:18:22 PM |     01:27:38
       136 |              38671.529ms |                    71.5ms |        131 |    96.324% |   Q24786354 |    10:18:23 PM |     01:27:39
